ficha,acao,uc
165,2152,1470300403
114,2122,247478000473
114,2122,144506800494
114,2122,1277600423
114,2122,1350700464
114,2122,147807600441
114,2122,68875100440
114,2122,1393500411
114,2122,1277700419
114,2122,111272100448
114,2122,85858900407
118,2123,61696700405
118,2123,250663100471
118,2123,220788900483
118,2123,138042000480
118,2123,56407200484
118,2123,56629400407
118,2123,61643700401
118,2123,65559600421
118,2123,229818200490
131,2124,57815800440
131,2124,57291000498
131,2124,57291100483
112,2121,239366700470
